timestamp,emotion
"4/22/2025, 12:11:40 AM",neutral
"4/22/2025, 12:11:41 AM",neutral
"4/22/2025, 12:11:43 AM",neutral
"4/22/2025, 12:11:45 AM",neutral
"4/22/2025, 12:11:47 AM",neutral
"4/22/2025, 12:11:49 AM",neutral
"4/22/2025, 12:11:51 AM",sad
"4/22/2025, 12:11:53 AM",sad
"4/22/2025, 12:11:55 AM",happy
"4/22/2025, 12:11:57 AM",happy
"4/22/2025, 12:11:59 AM",sad
"4/22/2025, 12:12:01 AM",sad
"4/22/2025, 12:12:03 AM",sad
"4/22/2025, 12:12:05 AM",happy
"4/22/2025, 12:12:07 AM",sad
"4/22/2025, 12:12:09 AM",neutral
